r0,r1,r2,r3,lower_bound,best_weight,optimal,seconds
24,22,24,12,10,10,1,23.75
24,15,24,17,10,10,1,25.93
24,18,24,24,10,10,1,26.47
24,2,24,6,10,10,1,17.2
24,10,24,21,10,10,1,17.33
24,24,24,23,10,10,1,20.03
24,27,24,18,10,10,1,17.48
24,9,24,12,10,10,1,18.41
24,20,24,24,10,10,1,34.71
24,8,24,13,7,8,0,3.27
24,18,24,13,10,10,1,19.06
24,6,24,16,10,10,1,22.68
24,26,24,9,10,10,1,24.52
24,28,24,20,10,10,1,19.44
24,11,24,23,10,10,1,20.92
24,8,24,9,7,8,0,4.11
24,13,16,26,12,12,1,52.04
24,9,16,28,12,12,1,85.74
24,6,16,25,12,12,1,74.26
24,3,16,27,12,12,1,62.52
24,25,16,20,12,12,1,59.65
24,1,16,12,12,12,1,66.11
24,30,16,9,12,12,1,66.22
24,26,16,23,12,12,1,70.14
24,14,16,28,12,12,1,60.29
24,22,16,18,12,12,1,91.01
24,10,16,5,12,12,1,63.18
24,15,16,27,12,12,1,59.01
24,9,16,16,12,12,1,73.14
24,17,16,2,12,12,1,67.84
24,9,16,17,12,12,1,58.83
24,4,16,24,12,12,1,61.74
24,31,24,20,10,10,1,19.77
24,23,24,8,10,10,1,28.69
24,28,24,22,10,11,0,26.52
24,1,24,28,10,10,1,20.17
24,29,24,28,10,10,1,28.77
24,20,24,13,10,10,1,23.55
24,11,24,30,10,10,1,17.82
24,14,24,30,10,10,1,20.89
24,25,24,8,10,10,1,30.5
24,7,24,3,10,10,1,21.21
24,21,24,24,10,10,1,19.26
24,6,24,28,10,10,1,20.65
24,19,24,15,10,10,1,20.97
24,19,24,30,10,10,1,22.17
24,30,24,24,10,10,1,16.76
24,5,24,20,10,10,1,27.57
24,19,16,14,12,12,1,62.58
24,3,16,12,12,12,1,68.07
24,3,16,22,12,12,1,60.94
24,15,16,1,12,12,1,62.88
24,6,16,17,12,12,1,70.71
24,23,16,31,12,12,1,78.08
24,6,16,23,12,12,1,71.93
24,3,16,13,12,12,1,65.44
24,21,16,23,12,12,1,80.77
24,9,16,20,12,12,1,75.3
24,10,16,7,12,12,1,57.58
24,8,16,29,7,9,0,5.59
24,11,16,9,12,12,1,66.56
24,3,16,3,12,12,1,63.5
24,23,24,27,10,10,1,24.59
24,30,24,17,10,10,1,18.22
24,31,24,9,10,10,1,23.83
24,6,24,5,10,10,1,20.54
24,25,24,5,10,10,1,21.12
24,29,24,23,10,10,1,24.95
24,15,24,12,10,10,1,24.05
24,10,24,25,10,10,1,21.95
24,13,24,8,10,10,1,32.25
24,4,24,23,10,10,1,19.49
24,7,24,23,10,10,1,23.08
24,22,24,10,10,11,0,17.64
24,3,24,4,10,10,1,19.92
24,11,24,16,10,10,1,27.43
24,30,24,4,10,10,1,24.26
24,31,24,6,10,10,1,31.48
24,2,24,2,10,10,1,23.76
24,26,24,20,10,10,1,24.43
24,1,24,29,10,10,1,20.52
24,25,24,7,10,10,1,21.54
24,22,24,2,10,10,1,26.27
24,16,24,23,7,9,0,3.84
24,17,24,27,10,10,1,20.82
24,24,24,31,10,10,1,32.82
24,29,24,20,10,10,1,25.56
24,15,24,11,10,10,1,19.76
24,22,24,27,10,10,1,21.85
24,9,24,4,10,10,1,21.31
24,20,24,23,10,10,1,22.08
24,6,24,4,10,11,0,24.85
24,8,24,16,7,8,0,5.39
24,15,24,13,10,10,1,22.12
24,25,24,6,10,10,1,18.89
24,8,24,8,7,8,0,3.43
27,10,15,18,12,12,1,69.23
19,13,7,15,7,9,0,5.73
23,9,11,16,7,9,0,6.08
19,4,30,7,12,12,1,67.61
3,2,1,26,12,12,1,60.61
1,28,16,11,12,12,1,63.6
29,13,28,19,10,11,0,18.38
10,30,7,13,12,12,1,63.45
