# 1.5-round weight-12 class from screen_r1c_cands.csv
1,27,23,22
6,13,21,31
16,19,31,6
2,17,7,22
8,25,5,4
1,12,10,27
27,7,2,30
5,3,23,6
19,14,9,25
20,14,7,26
6,20,3,26
16,8,7,3
19,14,23,13
2,14,20,7
16,13,6,22
5,8,20,4
23,12,11,17
15,26,25,28
22,5,8,29
7,20,20,23
31,5,18,9
31,3,25,25
28,19,30,12
6,22,19,16
15,6,22,24
15,19,12,12
5,15,7,18
16,18,10,20
10,4,27,22
19,23,18,8
30,5,18,19
4,26,29,14
24,14,12,8
15,22,18,31
13,11,22,19
27,10,16,23
2,13,7,21
23,2,10,24
10,20,7,14
1,25,15,11
14,8,21,4
6,17,2,24
13,31,6,30
27,1,17,16
30,16,12,18
28,14,1,30
21,20,22,14
13,31,8,17
1,18,21,2
31,27,21,29
2,20,11,3
2,26,31,23
30,5,11,30
22,30,24,12
15,24,7,29
15,27,23,6
15,5,5,9
17,13,23,3
17,4,3,23
31,13,27,16
12,7,2,17
14,8,31,16
31,7,6,8
7,17,22,11
21,23,10,30
16,27,27,26
17,8,25,29
30,7,10,4
25,19,1,25
13,15,27,26
1,10,7,19
12,12,27,31
21,1,4,15
26,27,25,13
10,23,6,10
24,31,31,21
11,7,31,2
6,20,15,11
26,19,17,29
29,9,31,3
23,21,8,29
9,9,12,1
1,3,26,15
31,23,14,23
13,14,25,12
30,28,1,5
25,14,12,9
26,29,28,16
2,13,4,10
23,14,25,8
8,17,19,14
19,9,1,1
23,25,30,31
12,3,31,20
30,28,8,18
21,28,18,5
23,24,31,11
7,5,5,20
