r0,r1,r2,r3,rounds,trials,mean_flip,max_dev,zero_pairs
23,29,29,15,1,4000,0.30225,0.50000,31081
1,24,17,9,1,4000,0.33979,0.50000,14566
3,9,26,11,1,4000,0.35167,0.50000,8738
3,10,2,28,1,4000,0.34525,0.50000,3370
13,2,24,9,1,4000,0.34658,0.50000,15494
11,24,5,9,1,4000,0.33619,0.50000,21937
1,17,4,5,1,4000,0.33598,0.50000,6162
11,30,24,11,1,4000,0.33015,0.50000,17185
26,11,19,3,1,4000,0.35091,0.50000,10420
15,9,16,15,1,4000,0.36112,0.50000,9810
13,27,29,30,1,4000,0.35012,0.50000,18972
3,30,19,26,1,4000,0.27932,0.50000,23063
15,19,5,18,1,4000,0.36018,0.50000,10824
1,14,24,22,1,4000,0.34667,0.50000,3784
19,2,12,14,1,4000,0.34529,0.50000,9020
29,25,22,1,1,4000,0.35931,0.50000,12435
28,1,13,9,1,4000,0.27702,0.50000,21351
16,19,28,9,1,4000,0.34459,0.50000,6485
26,8,23,19,1,4000,0.31490,0.50000,17515
24,11,12,31,1,4000,0.36002,0.50000,8593
26,21,12,13,1,4000,0.35342,0.50000,9232
10,15,20,11,1,4000,0.37032,0.50000,7928
18,17,6,1,1,4000,0.36353,0.50000,8154
5,9,22,8,1,4000,0.34505,0.50000,9302
19,5,30,4,1,4000,0.33520,0.50000,17652
27,9,14,7,1,4000,0.36142,0.50000,9054
1,24,18,25,1,4000,0.34720,0.50000,14765
13,17,29,16,1,4000,0.29730,0.50000,7144
3,13,20,29,1,4000,0.32585,0.50000,6117
17,26,19,19,1,4000,0.36749,0.50000,6764
14,2,12,28,1,4000,0.31048,0.50000,6538
10,23,23,21,1,4000,0.33479,0.50000,11269
24,20,2,26,1,4000,0.34509,0.50000,7414
4,18,22,9,1,4000,0.36727,0.50000,6534
23,4,7,9,1,4000,0.35435,0.50000,13990
3,21,19,17,1,4000,0.36377,0.50000,10316
21,3,28,3,1,4000,0.29813,0.50000,28119
26,28,7,21,1,4000,0.32715,0.50000,22563
27,6,17,28,1,4000,0.34529,0.50000,15052
1,18,4,27,1,4000,0.34337,0.50000,8298
10,17,29,24,1,4000,0.34837,0.50000,6917
11,25,18,21,1,4000,0.36413,0.50000,10399
19,18,10,17,1,4000,0.36217,0.50000,9755
30,31,17,14,1,4000,0.23954,0.50000,31577
20,21,19,10,1,4000,0.34624,0.50000,5507
15,10,5,17,1,4000,0.37045,0.50000,6113
14,1,19,12,1,4000,0.30922,0.50000,9753
29,28,16,23,1,4000,0.34410,0.50000,20246
26,10,8,29,1,4000,0.37437,0.50000,6445
7,20,16,28,1,4000,0.36823,0.50000,11817
29,29,8,14,1,4000,0.29507,0.50000,30234
15,22,12,18,1,4000,0.36086,0.50000,11573
30,31,7,26,1,4000,0.23809,0.50000,39514
16,24,3,27,1,4000,0.34778,0.50000,16256
15,9,26,26,1,4000,0.36500,0.50000,10203
12,21,24,28,1,4000,0.34582,0.50000,9535
16,25,11,13,1,4000,0.37226,0.50000,10940
15,26,4,16,1,4000,0.34590,0.50000,19953
12,5,14,5,1,4000,0.36886,0.50000,5994
1,6,27,9,1,4000,0.27762,0.50000,19690
12,28,5,19,1,4000,0.32112,0.50000,22343
26,10,31,14,1,4000,0.33461,0.50000,8870
24,4,9,22,1,4000,0.34750,0.50000,14629
26,23,28,2,1,4000,0.37321,0.50000,8695
26,7,22,21,1,4000,0.31802,0.50000,19372
17,16,29,13,1,4000,0.28372,0.50000,6346
9,31,17,10,1,4000,0.30729,0.50000,13595
24,14,23,9,1,4000,0.36967,0.50000,5667
14,11,25,30,1,4000,0.36708,0.50000,8901
16,7,23,27,1,4000,0.33242,0.50000,14434
16,31,13,23,1,4000,0.27549,0.50000,12514
14,3,3,5,1,4000,0.34105,0.50000,10896
7,31,5,8,1,4000,0.26105,0.50000,25508
24,1,4,9,1,4000,0.28722,0.50000,26951
25,24,22,12,1,4000,0.36619,0.50000,6372
30,29,31,23,1,4000,0.19831,0.50000,75089
9,2,18,21,1,4000,0.35190,0.50000,9619
15,10,25,29,1,4000,0.36439,0.50000,9878
14,5,5,9,1,4000,0.36530,0.50000,7258
20,29,31,2,1,4000,0.29148,0.50000,29098
18,27,20,17,1,4000,0.35595,0.50000,7185
5,31,14,9,1,4000,0.30502,0.50000,16302
11,6,20,25,1,4000,0.36548,0.50000,10745
6,24,29,19,1,4000,0.32677,0.50000,22185
5,16,25,31,1,4000,0.36832,0.50000,5037
4,13,21,24,1,4000,0.34967,0.50000,6059
6,27,1,3,1,4000,0.24276,0.50000,42304
14,20,31,2,1,4000,0.31947,0.50000,10795
